"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",1406,0,3176,2019,2194,125,3695
"asv2",15157,2827,12695,16930,19530,7383,14572
"asv3",182,0,147,190,168,148,169
"asv4",131,0,168,126,194,128,140
"asv5",127,0,143,289,398,190,287
"asv6",481,0,763,1089,960,404,1038
"asv7",123,0,98,78,58,78,77
"asv8",294,93,247,392,283,76,148
"asv9",334,0,346,368,321,304,353
"asv10",66,0,77,88,94,74,88
"asv11",144,0,365,430,440,165,438
"asv12",156,0,171,200,210,184,200
"asv13",59,13,68,78,76,58,71
"asv14",56,0,65,67,53,61,67
"asv15",132,0,144,176,164,148,157
"asv16",78,0,121,107,60,63,100
"asv17",48,0,57,62,67,57,56
"asv18",375,7,409,401,453,366,365
"asv19",47,0,56,65,79,55,65
"asv20",151,0,179,173,179,142,171
"asv21",46,0,60,59,66,52,35
"asv22",45,0,66,58,57,0,58
"asv23",102,12,151,150,172,96,169
"asv24",42,0,48,57,48,48,44
"asv25",75,0,59,92,79,81,84
"asv26",41,0,27,29,34,22,29
"asv27",40,0,47,54,58,46,54
"asv28",104,0,95,110,96,101,89
"asv29",81,0,74,110,77,55,71
"asv30",36,0,47,44,58,46,45
"asv31",403,0,464,521,527,34,491
"asv32",64,30,71,76,68,65,62
"asv33",34,0,156,179,223,108,160
"asv34",34,0,54,69,58,44,68
"asv35",34,0,52,58,61,40,46
"asv36",55,0,31,28,60,49,57
"asv37",51,0,55,65,80,0,78
"asv38",81,0,108,188,154,94,167
"asv39",29,0,39,48,52,37,48
"asv40",93,53,130,226,125,89,138
"asv41",110,0,101,81,82,0,80
"asv42",89,0,94,92,80,67,91
"asv43",44,0,43,58,50,42,52
"asv44",42,0,47,59,63,64,60
"asv45",79,0,70,95,112,76,93
"asv46",94,0,78,84,94,0,83
"asv47",109,22,95,135,179,35,135
"asv48",167,9,276,282,314,154,249
"asv49",19,0,35,54,72,35,54
"asv50",32,0,84,115,138,38,113
"asv51",16,0,23,35,39,0,34
"asv52",15,0,18,19,23,18,19
"asv53",44,0,86,77,50,67,81
"asv54",19,0,102,155,160,39,154
"asv55",29,18,32,41,34,21,39
"asv56",9,0,9,9,11,9,9
"asv57",38,0,65,57,46,38,76
"asv58",19,0,78,85,151,15,84
"asv59",6,0,6,6,6,0,6
"asv60",10,0,169,161,172,10,157
"asv61",3,0,35,18,0,22,0
"asv62",2,0,9,17,59,3,4
"asv63",2,0,0,0,0,0,0
"asv64",0,11,82,81,75,0,75
"asv65",0,0,65,84,74,0,82
"asv66",0,0,51,58,62,0,58
"asv67",0,0,49,0,0,0,47
"asv68",0,0,48,49,54,0,49
"asv69",0,0,47,49,52,0,49
"asv70",0,0,113,97,123,0,110
"asv71",0,0,54,66,45,0,66
"asv72",0,0,31,39,44,31,38
"asv73",0,0,24,37,53,0,37
"asv74",0,0,76,62,63,19,69
"asv75",0,0,12,14,14,0,14
"asv76",0,0,11,0,0,0,0
"asv77",0,0,9,14,17,0,13
"asv78",0,0,5,5,5,0,5
"asv79",0,0,0,48,43,0,0
"asv80",0,0,0,21,21,0,21
"asv81",0,0,0,20,21,0,19
"asv82",0,0,0,10,11,0,10
"asv83",0,0,0,0,2,0,0
"asv84",0,0,0,0,0,23,4
"asv85",0,0,0,0,0,2,2
